Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
KP Pietersen,2003-2018,5695,115*,33.89,3,17,3/33,31.41,0,66,0,2.48
LE Plunkett,2003-2025,835,41,14.15,0,154,5/31,27.89,1,44,0,-13.74
N Pooran,2013-2025,9951,108*,30.15,4,-,-,-,-,243,36,-
RJ Quiney,,,,,,,,,,,,
TF Rogers,,,,,,,,,,,,
P Rowe,,3,3,3.00,0,-,-,-,-,0,1,-
CP Simpson,2006-2012,341,76,16.23,0,24,3/17,22.12,0,7,0,-5.88
DW Steyn,2005-2021,313,27*,8.45,0,263,4/9,22.00,0,55,0,-13.54
MP Stoinis,2012-2025,6843,147*,29.36,2,179,4/15,26.84,0,85,0,2.52
OP Stone,2011-2025,173,22*,6.65,0,113,4/14,27.31,0,37,0,-20.66
Syed Faridoun,,6,6*,-,0,0,-,-,0,0,0,-
Usama Mir,2013-2025,530,39,8.68,0,182,6/40,23.35,1,61,0,-14.66
AC Voges,2006-2018,4064,82*,31.02,0,27,2/4,27.92,0,71,0,3.09
SK Warne,2004-2013,210,34*,9.54,0,70,4/21,26.61,0,18,0,-17.06
D Warren,,,,,,,,,,,,
L Wood,2016-2025,419,33*,9.52,0,208,5/50,25.91,1,68,0,-16.39
LJ Wright,2004-2022,8526,153*,29.19,7,79,3/17,32.44,0,103,0,-3.24
AC Agar,2013-2025,1408,68,16.76,0,137,6/30,29.59,2,91,0,-12.83
FH Allen,2017-2025,4415,151,28.85,4,0,-,-,0,73,2,-
TJ Armstrong,2011-2013,54,25,13.50,0,-,-,-,-,2,0,-
CT Bancroft,2014-2025,3170,95*,30.48,0,-,-,-,-,59,7,-
M Beardman,,,,,,,,,,,,
JP Behrendorff,2012-2025,175,26,13.46,0,213,4/21,22.17,0,56,0,-8.71
IR Bell,2003-2020,2790,131,30.65,1,3,1/12,62.00,0,37,0,-31.34
WG Bosisto,2017-2025,400,75*,33.33,0,3,2/10,28.00,0,6,0,5.33
MA Carberry,2003-2017,3720,100*,31.00,1,1,1/16,19.00,0,48,0,12.00
PD Collingwood,2005-2018,2478,108*,21.54,1,99,5/6,22.67,2,49,0,-1.12
C Connolly,2023-2025,646,66,32.30,0,13,3/25,26.76,0,11,0,5.53
PJ Cummins,2011-2025,1001,66*,17.56,0,192,4/16,27.33,0,45,0,-9.77
MW Dixon,2014-2017,2,1,0.66,0,10,3/32,25.90,0,0,0,-25.23
BM Edmondson,2006-2013,14,3*,2.33,0,56,4/14,25.46,0,9,0,-23.13
SS Eskinazi,2016-2025,3688,102*,31.52,1,-,-,-,-,51,0,-
S Fanning,,,,,,,,,,,,
HH Gibbs,2004-2013,3895,101*,25.29,1,-,-,-,-,76,0,-
C Green,2019-2025,1334,100*,33.35,1,28,3/35,34.42,0,30,0,-1.07
AM Hardie,2019-2025,1516,90*,26.13,0,44,3/21,27.75,0,41,0,-1.61
NR Hobson,2019-2025,481,48*,25.31,0,-,-,-,-,22,0,-
MF Hurst,,659,78,19.96,0,-,-,-,-,21,3,-
MEK Hussey,2003-2016,4569,116*,37.45,1,0,-,-,0,77,0,-
JP Inglis,2017-2025,3820,118*,30.31,4,-,-,-,-,110,21,-
KK Jennings,2014-2025,2509,108,30.97,1,22,4/37,28.54,0,36,0,2.42
MG Johnson,2006-2018,320,30,12.80,0,123,3/3,25.78,0,28,0,-12.98
SM Katich,2003-2014,2483,75,30.28,0,0,-,-,0,47,0,-
M Kelly,2018-2025,104,23*,11.55,0,60,4/25,20.85,0,13,0,-9.29
LS Livingstone,2015-2025,7385,103,28.18,2,143,4/17,25.76,0,126,0,2.42
A Lyth,2008-2025,4979,161,24.64,1,26,5/31,27.34,1,107,0,-2.69
MR Marsh,2009-2025,5222,117,32.43,2,85,4/6,25.75,0,81,0,6.68
J Morgan,,1,1,1.00,0,-,-,-,-,0,0,-
MJ North,2004-2014,1756,90,25.08,0,19,2/19,40.15,0,22,0,-15.07
KR Patterson,2012-2025,1264,78,21.79,0,-,-,-,-,33,0,-
JR Philippe,2017-2025,2823,99*,25.66,0,-,-,-,-,87,15,-
JA Richardson,2016-2025,349,33*,13.96,0,124,4/9,22.89,0,30,0,-8.93
L Ronchi,2006-2020,4217,102,25.25,1,-,-,-,-,119,36,-
JJ Roy,2008-2025,10554,145*,27.20,6,1,1/23,39.00,0,202,0,-11.79
M Spoors,2022-2025,347,108*,34.70,1,2,1/5,33.50,0,2,0,1.20
SP Terry,2015-2019,93,33*,13.28,0,-,-,-,-,5,0,-
AJ Turner,2013-2025,3860,84*,24.90,0,35,3/20,25.62,0,96,0,-0.72
AJ Tye,2014-2025,741,44,12.77,0,342,5/17,21.33,3,87,0,-8.56
Usman Qadir,2013-2024,272,36,12.36,0,112,5/14,24.33,1,20,0,-11.96
SM Whiteman,,,,,,,,,,,,
DJ Willey,2009-2025,4773,118,22.30,2,362,4/7,23.45,0,165,0,-1.14
Yasir Arafat,2006-2016,1210,49,13.90,0,281,4/5,22.58,0,35,0,-8.67
SA Abbott,2011-2025,941,110*,11.91,1,254,5/16,21.33,2,104,0,-9.41
JT Ball,2011-2025,63,18*,6.30,0,182,4/11,22.63,0,36,0,-16.33
NL Bertus,,19,15,9.50,0,-,-,-,-,0,0,-
RS Bopara,2003-2025,9948,108,28.10,3,292,6/16,25.59,1,158,0,2.50
CR Brathwaite,2011-2024,2385,64*,15.69,0,248,4/14,25.75,0,108,0,-10.05
JM Carder,,10,10,10.00,0,-,-,-,-,0,0,-
RGL Carters,2010-2016,319,35*,15.19,0,-,-,-,-,29,2,-
JA Chohan,2023-2025,99,37,8.25,0,39,5/14,29.00,1,7,0,-20.74
TA Copeland,2011-2014,1,1,1.00,0,0,-,-,0,0,0,-
EJM Cowan,2007-2016,229,70,16.35,0,-,-,-,-,2,0,-
J Davies,2023-2025,52,15,8.66,0,1,1/24,127.00,0,4,0,-118.33
LA Doran,2011-2014,7,4,3.50,0,8,2/22,35.87,0,2,0,-32.37
BJ Dwarshuis,2014-2025,1134,66,20.61,0,216,5/21,23.16,2,37,0,-2.54
J Edwards,2018-2025,715,47,15.54,0,33,3/15,26.18,0,27,0,-10.63
MW Edwards,2018-2021,0,0*,-,0,2,1/19,42.00,0,3,0,-
BJ Haddin,2005-2017,1747,76,22.39,0,-,-,-,-,61,20,-
JR Hazlewood,2009-2025,71,13*,14.20,0,164,4/12,21.54,0,20,0,-7.34
MC Henriques,2006-2025,5562,77,27.13,0,120,3/11,29.18,0,129,0,-2.05
JO Holder,2010-2025,3035,69,18.61,0,324,5/27,27.61,1,153,0,-8.99
DP Hughes,,,,,,,,,,,,
Izharulhaq Naveed,2022-2025,17,3*,4.25,0,43,4/12,24.39,0,5,0,-20.14
SJC Keen,2009-2015,79,24,11.28,0,1,1/28,48.00,0,3,0,-36.71
H Kerr,2019-2025,606,98*,18.93,0,78,4/32,24.57,0,23,0,-5.63
B Lee,2005-2015,416,48,13.86,0,109,4/28,29.88,0,28,0,-16.02
JS Lenton,2017-2022,141,27*,23.50,0,-,-,-,-,12,5,-
MJ Lumb,2003-2017,4972,124*,24.01,1,3,3/32,21.66,0,72,0,2.35
NL McCullum,2006-2016,1618,76*,16.51,0,157,4/16,24.09,0,71,0,-7.58
SCG MacGill,2003-2012,19,8*,19.00,0,13,3/42,23.84,0,2,0,-4.84
BMAJ Mendis,2004-2021,2250,67,21.42,0,118,5/21,20.01,1,45,0,1.41
IA Moran,2006-2015,33,20,11.00,0,8,3/21,18.50,0,1,0,-7.49
T Murphy,2021-2025,30,14*,-,0,19,3/35,22.31,0,8,0,-
Naveen-ul-Haq,2017-2025,365,30*,8.69,0,267,5/11,24.26,1,60,0,-15.57
SNJ O'Keefe,2009-2024,543,50,14.28,0,119,4/10,23.27,0,37,0,-8.98
DR Sams,2017-2025,2177,98*,16.74,0,250,5/30,24.63,1,81,0,-7.88
SMSM Senanayake,2007-2022,532,59,12.97,0,124,4/23,19.59,0,36,0,-6.62
L Shaw,,,,,,,,,,,,
JC Silk,,,,,,,,,,,,
DLR Smith,2021-2024,319,69,22.78,0,-,-,-,-,8,2,-
SPD Smith,2008-2025,5943,125*,31.95,4,54,4/13,19.55,0,149,0,12.39
WER Somerville,2016-2022,200,37*,25.00,0,40,3/18,27.80,0,7,0,-2.79
MA Starc,2009-2025,225,29,9.00,0,207,5/35,20.96,1,57,0,-11.96
DJ Thornely,2005-2013,778,67*,21.02,0,28,4/22,24.50,0,23,0,-3.47
CT Tremlett,,,,,,,,,,,,
JM Vince,2010-2025,12655,129*,31.95,7,3,1/5,29.00,0,259,0,2.95
DA Warner,2007-2025,13595,135*,36.44,8,0,-,-,0,202,0,-
MH Wessels,2005-2021,5684,110,28.85,1,-,-,-,-,96,16,-
Azhar Mahmood,,,,,,,,,,,,
AR Beadle,,7,7,7.00,0,1,1/39,61.00,0,0,0,-53.99
ND Bills,,-,-,-,-,2,2/44,22.00,0,0,0,-
LR Butterworth,2007-2012,66,36,11.00,0,5,2/27,38.80,0,2,0,-27.79
JD Cook,2018-2021,21,12*,10.50,0,24,4/21,25.00,0,6,0,-14.49
SJ Coyte,,,,,,,,,,,,
TD Cruickshank,,17,15,5.66,0,-,-,-,-,0,0,-
O Davies,2020-2025,834,65,20.34,0,0,-,-,0,16,0,-
MR Day,,29,29*,-,0,0,-,-,0,1,0,-
BS Dean,,3,3,3.00,0,1,1/29,29.00,0,0,0,-25.99
CS Delport,2010-2024,6290,129,25.05,5,71,4/17,29.45,0,88,0,-4.39
AP Devcich,,,,,,,,,,,,
TM Dilshan,2004-2016,5193,104*,27.04,1,64,3/16,29.56,0,79,3,-2.51
FH Edwards,2006-2021,124,11*,6.52,0,112,5/22,27.67,1,14,0,-21.15
Fazalhaq Farooqi,2019-2025,52,16*,6.50,0,172,5/9,21.04,4,20,0,-14.54
LH Ferguson,2014-2025,288,30,11.07,0,228,5/21,22.32,1,52,0,-11.24
M Gilkes,2019-2025,899,93,19.54,0,-,-,-,-,19,1,-
TW Gray,,,,,,,,,,,,
CJ Green,2015-2025,1997,50,17.21,0,243,5/32,25.92,1,152,0,-8.71
BJ Holt,2019-2022,84,37,14.00,0,-,-,-,-,8,2,-
JH Kallis,2004-2016,4416,97*,30.88,0,114,4/15,30.54,0,54,0,0.33
T Kohler-Cadmore,2014-2025,6524,127,28.36,1,-,-,-,-,129,5,-
SJ Konstas,,,,,,,,,,,,
N McAndrew,2016-2025,598,32*,15.73,0,104,6/21,27.66,3,35,0,-11.92
MJ McClenaghan,2009-2021,271,20,6.30,0,241,5/29,25.60,1,34,0,-19.30
S Mahmood,,,,,,,,,,,,
BAW Mendis,2007-2019,214,27*,6.68,0,170,6/8,19.00,2,29,0,-12.31
Mohammad Hasnain,2019-2025,117,22,7.31,0,139,4/25,27.64,0,15,0,-20.32
EJG Morgan,2006-2023,7780,91,26.02,0,-,-,-,-,160,0,-
CH Morris,2011-2021,1868,82*,20.08,0,290,4/9,22.21,0,104,0,-2.12
AJ Nair,2016-2022,251,45,20.91,0,23,3/12,27.08,0,9,0,-6.17
HM Nicholls,2012-2024,1460,76*,31.73,0,0,-,-,0,30,0,-
B Nikitaras,,,,,,,,,,,,
RR Pawson,,-,-,-,-,0,-,-,0,0,0,-
CA Philipson,2006-2011,355,46*,18.68,0,-,-,-,-,6,0,-
MJ Prior,2003-2014,1906,117,26.10,1,-,-,-,-,46,6,-
CJL Rogers,2005-2012,627,58,17.41,0,-,-,-,-,22,0,-
JE Root,2011-2025,3062,92*,32.23,0,35,2/7,28.05,0,58,0,4.17
SE Rutherford,2018-2025,3610,86,23.59,0,13,3/19,38.53,0,70,0,-14.94
CS Sandri,2012-2013,345,49*,28.75,0,24,4/9,19.83,0,7,0,8.91
JJS Sangha,2017-2025,836,91*,30.96,0,5,2/16,25.80,0,18,0,5.16
T Sangha,2020-2025,38,17*,7.60,0,77,4/14,20.27,0,14,0,-12.67
HD Weibgen,,,,,,,,,,,,
CR Woakes,2008-2025,1031,57*,20.21,0,177,4/21,25.24,0,64,0,-5.02
Zaman Khan,2021-2025,75,9*,7.50,0,132,4/16,24.53,0,23,0,-17.03
