Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
J Overton,2024-2024,MI Emirates,England,157.5,Fast,1687,83*,20.57,0,133,5/47,27.20,1,95.0,0.0,-6.62
JL Smith,2024-2024,MI Emirates,England,144.4,,1687,87,24.44,0,-,-,-,-,53.0,10.0,-
JM Cox,2024-2025,MI Emirates,England,142.8,,3510,139*,30.78,1,-,-,-,-,102.0,7.0,-
Karim Janat,2024-2024,MI Emirates,Afghanistan,132.0,Medium,2817,120,22.71,2,125,5/11,28.82,1,43.0,0.0,-6.10
Mujeeb Ur Rahman,2024-2024,MI Emirates,Afghanistan,104.2,Offbreak,410,34,8.72,0,293,5/15,23.64,2,50.0,0.0,-14.92
Usman Khan,2024-2024,MI Emirates,France,139.6,Medium,1944,123,30.85,5,-,-,-,-,31.0,5.0,-
Zuhaib Zubair,2024-2025,MI Emirates,United Arab Emirates,130.4,Legbreak,90,26*,11.25,0,31,5/21,19.32,1,8.0,0.0,-8.07
A Lyth,2025-2025,MI Emirates,Perth Scorchers,144.8,Medium,4979,161,24.64,1,26,5/31,27.34,1,107.0,0.0,-2.69
Ibrahim Zadran,2025-2025,MI Emirates,Afghanistan,110.6,Medium,3097,101*,30.36,1,6,3/42,44.33,0,65.0,0.0,-13.97
MADI Hemantha,2025-2025,MI Emirates,Sri Lanka,118.3,Legbreak,895,59*,17.21,0,82,6/23,16.67,1,38.0,0.0,0.54
MR Adair,2025-2025,MI Emirates,Ireland,125.4,Fast,1226,72,14.95,0,187,4/13,19.93,0,71.0,0.0,-4.98
OG Robinson,2025-2025,MI Emirates,Gulf Giants,126.2,,228,31,10.85,0,71,4/15,28.80,0,33.0,0.0,-17.94
Saghir Khan,2025-2025,MI Emirates,United Arab Emirates,156.8,Medium,,,,,,,,,,,
TH David,2025-2025,MI Emirates,Singapore,161.9,Offbreak,5833,102*,30.86,1,15,1/0,64.06,0,170.0,0.0,-33.20
TK Curran,2025-2025,MI Emirates,England,143.5,Medium,2396,67*,21.58,0,255,4/15,25.52,0,66.0,0.0,-3.93
TP Alsop,2025-2025,MI Emirates,Brisbane Heat,130.8,,2229,87*,27.51,0,-,-,-,-,37.0,5.0,-
TS Mills,2025-2025,MI Emirates,England,105.9,Fast,237,30,6.07,0,320,4/13,23.36,0,39.0,0.0,-17.29
Uzair Khan,2025-2025,MI Emirates,Gulf Giants,0.0,Medium,,,,,,,,,,,
Wahidullah Zadran,2025-2025,MI Emirates,Gulf Giants,,Offbreak,0,0,0.00,0,28,4/22,16.32,0,2.0,0.0,-16.32
ADS Fletcher,2023-2025,Sharjah Warriors,West Indies,124.4,Medium,8513,118,28.85,5,3,2/22,26.33,0,165.0,23.0,2.52
BFW de Leede,2023-2023,Sharjah Warriors,Netherlands,106.0,Medium,1126,91*,25.59,0,53,3/17,22.66,0,33.0,0.0,2.93
BTJ Wheal,2023-2023,Sharjah Warriors,Scotland,87.3,Medium,,,,,,,,,,,
Basil Hameed,2023-2023,Sharjah Warriors,United Arab Emirates,120.4,Offbreak,858,51,20.42,0,38,4/25,17.26,0,30.0,0.0,3.16
C Overton,2023-2023,Sharjah Warriors,MI Emirates,133.1,Medium,596,42,15.68,0,141,4/25,26.31,0,98.0,0.0,-10.62
DJ Bravo,2023-2024,Sharjah Warriors,West Indies,126.3,Medium,6970,70*,22.33,0,631,5/23,24.40,2,275.0,0.0,-2.06
DR Mousley,2023-2025,Sharjah Warriors,England,130.5,Offbreak,1596,68,22.47,0,70,4/19,21.42,0,56.0,0.0,1.05
Fazalhaq Farooqi,2023-2025,Sharjah Warriors,Afghanistan,59.3,Medium,52,16*,6.50,0,172,5/9,21.04,4,20.0,0.0,-14.54
Imran Tahir,2023-2023,Sharjah Warriors,South Africa,101.3,Legbreak,387,23,8.79,0,567,5/21,19.53,5,107.0,0.0,-10.74
JA Thompson,2023-2024,Sharjah Warriors,Hobart Hurricanes,153.8,Medium,1262,74,17.05,0,131,5/21,25.21,1,44.0,0.0,-8.15
KA Pollard,2023-2025,Sharjah Warriors,West Indies,149.9,Medium,14216,104,31.87,1,333,4/15,25.33,0,397.0,0.0,6.53
LJ Tucker,2023-2023,Sharjah Warriors,Ireland,123.2,,2537,94*,23.06,0,-,-,-,-,98.0,23.0,-
Muhammad Waseem,2023-2025,Sharjah Warriors,United Arab Emirates,150.5,,,,,,,,,,,,
N Pooran,2023-2025,Sharjah Warriors,West Indies,149.6,,9951,108*,30.15,4,-,-,-,-,243.0,36.0,-
Najibullah Zadran,2023-2023,Sharjah Warriors,Afghanistan,133.0,Offbreak,4475,97*,26.47,0,2,1/5,11.00,0,90.0,0.0,15.47
Rashid Khan,2023-2023,Sharjah Warriors,Afghanistan,142.2,Legbreak,2773,79*,13.93,0,672,6/17,18.46,4,173.0,0.0,-4.53
SR Patel,2023-2023,Sharjah Warriors,England,125.8,Orthodox,6939,90*,24.60,0,364,4/5,26.54,0,118.0,0.0,-1.93
TA Boult,2023-2024,Sharjah Warriors,New Zealand,116.7,Medium,307,23*,10.96,0,329,4/13,25.31,0,97.0,0.0,-14.34
V Aravind,2023-2023,Sharjah Warriors,United Arab Emirates,111.3,,,97*,,0,,,,,,,
WCF Smeed,2023-2024,Sharjah Warriors,St Kitts and Nevis Patriots,148.7,Offbreak,,,,,,,,,,,
Zahir Khan,2023-2023,Sharjah Warriors,Afghanistan,76.9,Chinaman,106,19*,4.60,0,142,5/19,24.05,1,13.0,0.0,-19.44
Zahoor Khan,2023-2025,Sharjah Warriors,United Arab Emirates,51.7,Medium,,,,,,,,,,,
AJ Hosein,2024-2025,Sharjah Warriors,West Indies,110.1,Orthodox,1059,55*,15.57,0,224,5/11,25.41,1,47.0,0.0,-9.84
AT Rayudu,2024-2024,Sharjah Warriors,India,124.7,Offbreak,6176,100*,26.05,1,-,-,-,-,101.0,3.0,-
Asif Khan,2024-2024,Sharjah Warriors,United Arab Emirates,137.7,Offbreak,1346,79,28.04,0,0,-,-,0,8.0,0.0,-
CG Benjamin,2024-2024,Sharjah Warriors,Sharjah Warriors,136.7,Medium,998,68*,19.96,0,-,-,-,-,33.0,1.0,-
CJ Anderson,2024-2024,Sharjah Warriors,New Zealand,131.0,Medium,3244,95*,24.20,0,46,2/10,34.06,0,62.0,0.0,-9.85
MDKJ Perera,2024-2025,Sharjah Warriors,Sri Lanka,137.0,,4949,102*,26.60,2,-,-,-,-,64.0,27.0,-
Muhammad Rohid,2024-2025,Sharjah Warriors,United Arab Emirates,133.3,Medium,,,,,,,,,,,
OF Smith,2024-2024,Sharjah Warriors,West Indies,128.8,Medium,818,44,16.69,0,101,4/30,27.90,0,36.0,0.0,-11.20
PBB Rajapaksa,2024-2024,Sharjah Warriors,Sri Lanka,137.2,Medium,4176,100,22.81,1,28,3/11,18.42,0,62.0,1.0,4.39
TH David,2024-2024,Sharjah Warriors,Singapore,161.9,Offbreak,5833,102*,30.86,1,15,1/0,64.06,0,170.0,0.0,-33.20
V Viyaskanth,2024-2024,Sharjah Warriors,Sri Lanka,79.4,Legbreak,1367,,,,,4/22,,0,,,
Waqar Salamkheil,2024-2025,Sharjah Warriors,Hobart Hurricanes,48.8,Chinaman,23,7,11.50,0,113,4/14,21.49,0,7.0,0.0,-9.99
AM Ghazanfar,2025-2025,Sharjah Warriors,Afghanistan,106.7,Offbreak,88,28,6.76,0,55,4/12,20.60,0,5.0,0.0,-13.83
AS Joseph,2025-2025,Sharjah Warriors,West Indies,107.1,Medium,484,29*,13.08,0,200,6/12,25.70,2,57.0,0.0,-12.62
BJ Jacobs,2025-2025,Sharjah Warriors,New Zealand,141.0,Medium,502,90*,29.52,0,-,-,-,-,10.0,0.0,-
R Shepherd,2025-2025,Sharjah Warriors,West Indies,155.5,Medium,2173,73*,23.36,0,189,4/13,26.00,0,45.0,0.0,-2.63
T Banton,2025-2025,Sharjah Warriors,England,141.9,,,,,,,,,,,,
WG Jacks,2025-2025,Sharjah Warriors,England,155.6,Offbreak,,,,,,,,,,,
