Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Role,
Trent Rockets,JA Turner,2023-2024,8,3*,8,0,43,'4/23,17.55,0,4,0,-9.55,Bowler,
Trent Rockets,JE Root,2021-2024,2823,92*,32.44,0,34,'2/7,28.64,0,54,0,3.8,All-Rounder,
Trent Rockets,L Gregory,2021-2024,2762,76*,20.3,0,197,'5/24,25.35,1,102,0,-5.04,All-Rounder,
Trent Rockets,L Wood,2021-2024,392,33*,10.31,0,174,'5/50,26.58,1,57,0,-16.27,Bowler,
Trent Rockets,LJ Fletcher,2022-2022,185,27,6.85,0,120,'5/32,25.46,2,12,0,-18.61,Bowler,
Trent Rockets,M Carter,2021-2023,168,23*,9.88,0,71,'3/14,26.54,0,29,0,-16.66,Bowler,
Trent Rockets,M de Lange,2021-2021,420,28*,11.05,0,166,'5/20,26.01,1,40,0,-14.95,Bowler,
Trent Rockets,OE Robinson,2024-2024,163,31,9.58,0,63,'4/15,27.36,0,24,0,-17.77,Bowler,
Trent Rockets,R Powell,2024-2024,4838,107,24.55,1,26,'2/21,45.03,0,140,0,-20.48,All-Rounder,
Trent Rockets,SJ Cook,2021-2024,47,18,5.87,0,92,'4/15,25.81,0,23,0,-19.94,Bowler,
Trent Rockets,SJ Mullaney,2021-2021,1802,79,17.16,0,133,'4/19,28.18,0,96,0,-11.01,All-Rounder,
Trent Rockets,SR Hain,2023-2024,4576,112*,38.77,1,0,0,0,0,79,0,0,Batter,
Trent Rockets,SR Patel,2021-2023,6673,90*,24.62,0,352,'4/5,26.05,0,113,0,-1.43,All-Rounder,
Trent Rockets,T Banton,2024-2024,4232,107*,27.66,4,0,0,0,0,90,10,0,Batter,
Trent Rockets,T Kohler-Cadmore,2022-2023,5766,127,28.12,1,0,0,0,0,115,3,0,Batter,
Trent Rockets,T Shamsi,2022-2022,88,15*,4.19,0,328,'5/24,22.51,1,39,0,-18.32,Bowler,
Trent Rockets,T van der Gugten,2021-2021,555,48,14.23,0,159,'5/21,22.61,1,36,0,-8.37,All-Rounder,
Trent Rockets,TJ Moores,2021-2022,2311,80*,23.34,0,0,0,0,0,72,23,0,Batter,
Trent Rockets,TP Alsop,2024-2024,1950,87*,28.26,0,0,0,0,0,32,4,0,Batter,
Trent Rockets,Wahab Riaz,2021-2021,1700,53,13.49,0,413,'5/8,22.63,3,101,0,-9.14,All-Rounder,
Welsh Fire,A Zampa,2022-2022,309,23,6.18,0,363,'6/19,21.72,3,42,0,-15.54,Bowler,
Welsh Fire,BGF Green,2023-2023,630,47,19.09,0,85,'5/29,20.62,2,26,0,-1.53,All-Rounder,
Welsh Fire,BM Duckett,2021-2022,5159,96,30.89,0,0,0,0,0,98,2,0,Batter,
Welsh Fire,D Pretorius,2022-2022,2781,77*,19.72,0,223,'5/17,24.67,1,53,0,-4.94,All-Rounder,
Welsh Fire,DA Miller,2022-2022,11343,120*,35.11,4,0,0,0,0,319,1,0,Batter,
Welsh Fire,DA Payne,2021-2024,234,28,7.09,0,249,'5/24,21.63,1,43,0,-14.53,Bowler,
Welsh Fire,DJ Willey,2023-2024,4286,118,22.32,2,333,'4/7,23.32,0,145,0,-1,All-Rounder,
Welsh Fire,DL Lloyd,2021-2021,1947,97*,24.03,0,6,'2/13,31.16,0,20,0,-7.12,All-Rounder,
Welsh Fire,GD Phillips,2021-2024,6624,116*,31.39,5,25,'3/6,32.4,0,137,10,-1,All-Rounder,
Welsh Fire,GG White,2021-2021,486,37*,14.29,0,121,'5/22,27.12,1,58,0,-12.82,Bowler,
Welsh Fire,GLS Scrimshaw,2022-2022,25,6*,25,0,70,'3/16,22.25,0,5,0,2.74,Bowler,
Welsh Fire,Haris Rauf,2023-2024,313,19,6.95,0,303,'5/27,22.51,1,62,0,-15.56,Bowler,
Welsh Fire,IA Cockbain,2021-2021,3869,123,31.97,1,0,0,0,0,75,0,0,Batter,
Welsh Fire,IS Sodhi,2022-2022,469,51,8.22,0,310,'6/11,24.58,1,69,0,-16.35,Bowler,
Welsh Fire,JB Little,2024-2024,220,27*,12.94,0,160,'5/13,23.41,1,47,0,-10.47,Bowler,
Welsh Fire,JDS Neesham,2021-2021,4198,97*,23.71,0,238,'5/22,25.29,1,117,0,-1.58,All-Rounder,
Welsh Fire,JG Bethell,2022-2022,1194,87,24.87,0,11,'2/5,26.9,0,34,0,-2.03,All-Rounder,
Welsh Fire,JJ Cobb,2021-2022,4262,103,23.81,1,78,'5/25,32.43,1,98,0,-8.62,All-Rounder,
Welsh Fire,JL du Plooy,2021-2022,3609,92,29.58,0,14,'4/15,21.57,0,71,0,8.01,All-Rounder,
Welsh Fire,JM Bairstow,2021-2024,5385,114,30.59,4,0,0,0,0,121,16,0,Batter,
Welsh Fire,JM Clarke,2022-2024,5269,136,25.82,4,0,0,0,0,84,6,0,Batter,
Welsh Fire,JT Ball,2021-2024,63,18*,6.3,0,177,'4/11,22.41,0,34,0,-16.11,Bowler,
Welsh Fire,LE Plunkett,2021-2021,825,41,14.22,0,151,'5/31,27.58,1,44,0,-13.36,All-Rounder,
Welsh Fire,LH Ferguson,2023-2023,288,30,11.07,0,218,'5/21,22.31,1,48,0,-11.23,Bowler,
Welsh Fire,LJ Fletcher,2021-2021,185,27,6.85,0,120,'5/32,25.46,2,12,0,-18.61,Bowler,
Welsh Fire,LWP Wells,2023-2024,1049,66,18.08,0,37,'2/19,31.56,0,29,0,-13.48,All-Rounder,
Welsh Fire,ME Milnes,2021-2021,64,14*,8,0,45,'5/22,30.68,1,13,0,-22.68,Bowler,
Welsh Fire,MJ Henry,2023-2024,589,44,12.8,0,178,'5/18,23.7,1,62,0,-10.89,All-Rounder,
Welsh Fire,MJJ Critchley,2021-2022,1973,80*,21.44,0,120,'5/28,24.73,1,43,0,-3.28,All-Rounder,
Welsh Fire,MS Crane,2024-2024,153,19,21.85,0,118,'4/24,23.43,0,29,0,-1.57,Bowler,
Welsh Fire,Noor Ahmad,2022-2022,185,20,6.16,0,170,'5/11,21.97,1,37,0,-15.8,Bowler,
Welsh Fire,OJ Pope,2022-2022,1505,99*,27.36,0,0,0,0,0,29,3,0,Batter,
Welsh Fire,Qais Ahmad,2021-2021,679,50*,12.34,0,190,'5/18,23.27,1,58,0,-10.93,All-Rounder,
Welsh Fire,RA Whiteley,2024-2024,3364,91*,22.57,0,10,'3/23,31.6,0,86,0,-9.02,All-Rounder,
Welsh Fire,RE van der Merwe,2023-2023,3075,89*,21.35,0,328,'6/20,24.08,2,149,0,-2.73,All-Rounder,
Welsh Fire,RF Higgins,2021-2022,2095,77*,24.36,0,93,'5/13,25.74,1,39,0,-1.38,All-Rounder,
Welsh Fire,SR Hain,2022-2022,4576,112*,38.77,1,0,0,0,0,79,0,0,Batter,
Welsh Fire,SS Eskinazi,2023-2024,3173,102*,31.41,1,0,0,0,0,49,0,0,Batter,
Welsh Fire,Shaheen Shah Afridi,2023-2023,773,55,12.46,0,300,'6/19,21.38,5,54,0,-8.91,All-Rounder,
Welsh Fire,T Banton,2021-2022,4232,107*,27.66,4,0,0,0,0,90,10,0,Batter,
Welsh Fire,T Kohler-Cadmore,2024-2024,5766,127,28.12,1,0,0,0,0,115,3,0,Batter,
Welsh Fire,TB Abell,2023-2024,3277,101*,30.06,1,2,'1/11,50,0,84,0,-19.93,All-Rounder,
